,city,"April 06, 2020_x","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020"
0,City of Agoura Hills,18,18,17,16,14,10,11,9,9,9,6,Agoura Hills,5,3,3,1,
1,City of Alhambra,22,21,19,17,15,13,13,11,10,10,8,Alhambra,8,6,5,4,3
2,City of Arcadia,16,14,13,13,12,12,10,9,9,8,6,Arcadia,6,4,4,3,2
3,City of Artesia,0,0,0,0,0,0,0,0,0,0,0,Artesia,,,,,
4,City of Avalon,0,0,0,0,0,0,0,0,0,0,0,Avalon,,,,,
5,City of Azusa,13,13,8,8,8,7,5,3,2,1,1,Azusa,1,,,,
6,City of Baldwin Park,11,10,9,7,5,3,2,0,0,0,0,Baldwin Park,,,,,
7,City of Bell,22,20,16,14,14,12,12,11,6,5,4,Bell,2,,,,
8,City of Bell Gardens,11,12,10,8,5,5,4,2,1,1,1,Bell Gardens,3,3,,,
9,City of Bellflower,37,32,30,26,24,23,20,17,14,12,10,Bellflower,8,7,3,3,1
10,City of Beverly Hills,65,65,60,53,45,39,35,28,24,21,21,Beverly Hills,15,13,12,12,8
11,City of Bradbury,0,0,0,0,0,0,0,0,0,0,0,Bradbury,,,,,
12,City of Burbank,77,70,61,50,41,39,27,21,19,17,7,Burbank,6,3,2,2,2
13,City of Calabasas,20,20,16,16,13,13,13,11,10,10,7,Calabasas,5,4,4,3,2
14,City of Carson,93,83,69,63,55,44,39,35,28,26,21,Carson,21,9,8,6,4
15,City of Cerritos,23,20,15,11,10,8,6,5,4,1,1,Cerritos,2,2,2,2,2
16,City of Claremont,6,5,3,4,3,3,2,1,1,1,1,Claremont,1,1,1,,
17,City of Commerce,0,0,0,0,0,0,0,0,0,0,0,Commerce,,,,,
18,City of Compton,36,34,31,26,24,19,16,13,11,9,7,Compton,5,2,1,1,
19,City of Covina,22,18,14,11,11,9,7,8,6,3,3,Covina,4,3,3,1,1
20,City of Cudahy,16,15,12,10,9,8,0,0,0,0,0,Cudahy,,,,,
21,City of Culver City,27,26,23,20,19,17,15,14,9,7,6,Culver City,8,6,7,5,4
22,City of Diamond Bar,13,12,11,8,7,6,3,3,3,2,2,Diamond Bar,2,2,2,2,2
23,City of Downey,71,68,52,47,43,37,31,25,19,18,12,Downey,10,5,1,,
24,City of Duarte,0,0,0,0,0,0,0,0,0,0,0,Duarte,2,1,1,1,
25,City of El Monte,21,18,12,10,7,6,4,1,0,0,0,El Monte,,,,,
26,City of El Segundo,7,7,6,5,0,0,0,0,0,0,0,El Segundo,2,2,2,1,1
27,City of Gardena,30,30,23,20,17,14,12,7,6,6,5,Gardena,4,1,1,1,1
28,City of Glendale,142,129,118,103,93,86,76,62,46,36,29,Glendale,23,12,10,9,6
29,City of Glendora,16,14,11,10,7,7,7,6,6,4,4,Glendora,2,2,1,1,1
30,City of Hawaiian Gardens,0,0,0,0,0,0,0,0,0,0,0,Hawaiian Gardens,,,,,
31,City of Hawthorne,44,39,32,30,26,22,19,13,11,11,7,Hawthorne,9,8,6,3,2
32,City of Hermosa Beach,18,17,17,17,15,12,9,7,6,0,0,Hermosa Beach,,,,,
33,City of Hidden Hills,0,0,0,0,0,0,0,0,0,0,0,Hidden Hills,,,,,
34,City of Huntington Park,29,26,20,16,15,13,11,4,2,2,0,Huntington Park,,,,,
35,City of Industry,0,0,0,0,0,0,0,0,0,0,0,Industry,,,,,
36,City of Inglewood,78,69,62,55,44,37,31,26,20,14,12,Inglewood,12,5,5,3,3
37,City of Irwindale,0,0,0,0,0,0,0,0,0,0,0,Irwindale,,,,,
38,City of La Canada Flintridge,14,14,11,9,8,8,8,8,7,7,5,La Canada Flintridge,6,3,2,2,1
39,City of La Habra Heights,0,0,0,0,0,0,0,0,0,0,0,La Habra Heights,,,,,
40,City of La Mirada,16,15,13,11,11,9,8,7,7,6,5,La Mirada,5,4,3,3,3
41,City of La Puente,13,12,11,8,7,6,3,3,3,2,1,La Puente,1,,1,,
42,City of La Verne,7,7,4,2,2,2,2,2,1,1,1,La Verne,2,2,2,2,2
43,City of Lakewood,32,29,28,24,21,18,16,13,12,11,8,Lakewood,7,4,3,1,1
44,City of Lancaster,61,51,43,38,33,32,31,27,23,19,18,Lancaster,16,13,8,7,4
45,City of Lawndale,16,13,10,10,8,7,6,4,4,3,2,Lawndale,2,1,2,2,1
46,City of Lomita,11,9,7,6,0,0,0,0,0,0,0,Lomita,12,9,9,8,8
47,City of Lynwood,43,37,28,23,21,20,18,16,14,13,8,Lynwood,6,3,2,2,2
48,City of Malibu,9,8,8,7,5,0,0,0,0,0,0,Malibu,,,,,
49,City of Manhattan Beach,48,46,46,45,43,41,40,31,27,23,22,Manhattan Beach,21,17,11,9,7
50,City of Maywood,17,15,14,10,10,8,6,5,4,2,1,Maywood,1,,,,
51,City of Monrovia,12,11,9,8,7,7,5,4,4,4,4,Monrovia,2,,,,
52,City of Montebello,20,17,11,10,9,7,5,4,4,3,2,Montebello,1,,,,
53,City of Monterey Park,19,15,15,12,11,9,7,5,5,5,4,Monterey Park,4,4,3,3,3
54,City of Norwalk,50,49,38,30,26,21,21,15,12,12,9,Norwalk,9,2,1,,
55,City of Palmdale,46,37,31,27,20,18,14,9,7,6,4,Palmdale,2,2,2,1,
56,City of Palos Verdes Estates,25,23,21,19,18,15,14,14,14,14,12,Palos Verdes Estates,,,,,
57,City of Paramount,26,23,19,17,13,10,8,7,6,5,5,Paramount,4,3,2,2,1
58,City of Pico Rivera,32,31,27,17,15,14,9,6,5,5,2,Pico Rivera,2,1,1,,
59,City of Pomona,30,24,24,22,15,13,10,5,4,4,4,Pomona,3,1,,,
