city,"April 09, 2020","April 08, 2020","April 07, 2020","April 06, 2020","April 05, 2020","April 04, 2020","April 03, 2020","April 02, 2020","April 01, 2020","March 31, 2020","March 30, 2020","March 29, 2020","March 28, 2020","March 27, 2020",city2,"March 26, 2020","March 25, 2020","March 24, 2020","March 23, 2020","March 22, 2020",Density
City of Agoura Hills,20,19,19,18,18,17,16,14,10,11,9,9,9,6,Agoura Hills,5,3,3,1,,95.77
City of Alhambra,27,26,24,22,21,19,17,15,13,13,11,10,10,8,Alhambra,8,6,5,4,,31.13
City of Arcadia,18,17,17,16,14,13,13,12,12,10,9,9,8,6,Arcadia,6,4,4,3,2,31.17
City of Artesia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Artesia,,,,,,--
City of Avalon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avalon,,,,,,0
City of Azusa,14,14,14,13,13,8,8,8,7,5,3,2,1,1,Azusa,1,,,,,27.98
City of Baldwin Park,15,12,11,11,10,9,7,5,3,2,0,0,0,0,Baldwin Park,,,,,,19.54
City of Bell,31,28,24,22,20,16,14,14,12,12,11,6,5,4,Bell,2,,,,,85.32
City of Bell Gardens,21,17,12,11,12,10,8,5,5,4,2,1,1,1,Bell Gardens,3,3,,,,48.76
City of Bellflower,44,42,39,37,32,30,26,24,23,20,17,14,12,10,Bellflower,8,7,3,3,,56.6
City of Beverly Hills,71,71,70,65,65,60,53,45,39,35,28,24,21,21,Beverly Hills,15,13,12,12,8,205.68
City of Bradbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bradbury,,,,,,0
City of Burbank,88,83,79,77,70,61,50,41,39,27,21,19,17,7,Burbank,6,3,2,2,2,82.1
City of Calabasas,21,20,20,20,20,16,16,13,13,13,11,10,10,7,Calabasas,5,4,4,3,2,86.34
City of Carson,103,104,96,93,83,69,63,55,44,39,35,28,26,21,Carson,21,9,8,6,4,109.75
City of Cerritos,29,29,27,23,20,15,11,10,8,6,5,4,1,1,Cerritos,2,2,2,2,2,57.92
City of Claremont,10,8,6,6,5,3,4,3,3,2,1,1,1,1,Claremont,1,1,1,,,27.41
City of Commerce,--,0,0,0,0,0,0,0,--,--,--,0,0,0,Commerce,,,,,,--
City of Compton,49,44,38,36,34,31,26,24,19,16,13,11,9,7,Compton,5,2,1,1,,49.05
City of Covina,33,28,24,22,18,14,11,11,9,7,8,6,3,3,Covina,4,3,3,1,1,67.3
City of Cudahy,19,19,18,16,15,12,10,9,8,--,--,--,--,--,Cudahy,,,,,,78.04
City of Culver City,30,29,29,27,26,23,20,19,17,15,14,9,7,6,Culver City,8,6,7,5,4,75.25
City of Diamond Bar,17,14,14,13,12,11,8,7,6,3,3,3,2,2,Diamond Bar,2,2,2,2,2,29.56
City of Downey,89,84,79,71,68,52,47,43,37,31,25,19,18,12,Downey,10,5,1,,,77.89
City of Duarte,5,--,--,--,--,--,--,--,--,--,--,--,--,--,Duarte,2,1,1,1,,22.71
City of El Monte,25,23,22,21,18,12,10,7,6,4,1,0,0,0,El Monte,,,,,,21.32
City of El Segundo,9,8,8,7,7,6,5,--,--,--,--,--,--,--,El Segundo,2,2,2,1,1,53.62
City of Gardena,47,42,37,30,30,23,20,17,14,12,7,6,6,5,Gardena,4,1,1,1,1,76.66
City of Glendale,194,166,154,142,129,118,103,93,86,76,62,46,36,29,Glendale,23,12,10,9,6,93.95
City of Glendora,18,17,17,16,14,11,10,7,7,7,6,6,4,4,Glendora,2,2,1,1,1,34.11
City of Hawaiian Gardens,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Hawaiian Gardens,,,,,,--
City of Hawthorne,62,55,49,44,39,32,30,26,22,19,13,11,11,7,Hawthorne,9,8,6,3,2,69.83
City of Hermosa Beach,17,18,18,18,17,17,17,15,12,9,7,6,--,--,Hermosa Beach,,,,,,86.43
City of Hidden Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hidden Hills,,,,,,0
City of Huntington Park,38,36,33,29,26,20,16,15,13,11,4,2,2,0,Huntington Park,,,,,,63.88
City of Industry,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Industry,,,,,,--
City of Inglewood,99,92,85,78,69,62,55,44,37,31,26,20,14,12,Inglewood,12,5,5,3,3,87.16
City of Irwindale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Irwindale,,,,,,0
City of La Canada Flintridge,16,16,16,14,14,11,9,8,8,8,8,7,7,5,La Canada Flintridge,6,3,2,2,1,77.32
City of La Habra Heights,--,--,0,0,0,0,0,0,0,0,0,0,0,--,La Habra Heights,,,,,,--
City of La Mirada,19,17,16,16,15,13,11,11,9,8,7,7,6,5,La Mirada,5,4,3,3,3,38.31
City of La Puente,15,14,14,13,12,11,8,7,6,3,3,3,2,1,La Puente,1,,1,,,36.86
City of La Verne,8,7,7,7,7,4,2,2,2,2,2,1,1,1,La Verne,2,2,2,2,2,24.04
City of Lakewood,37,37,36,32,29,28,24,21,18,16,13,12,11,8,Lakewood,7,4,3,1,1,46.04
City of Lancaster,74,73,64,61,51,43,38,33,32,31,27,23,19,18,Lancaster,16,13,8,7,4,45.8
City of Lawndale,22,22,20,16,13,10,10,8,7,6,4,4,3,2,Lawndale,2,1,2,2,1,65.45
City of Lomita,17,13,13,11,9,7,6,--,--,--,--,--,--,0,Lomita,12,9,9,8,8,82.01
City of Lynwood,58,51,47,43,37,28,23,21,20,18,16,14,13,8,Lynwood,6,3,2,2,2,80.5
City of Malibu,10,10,9,9,8,8,7,5,--,--,--,--,--,--,Malibu,,,,,,77.15
City of Manhattan Beach,52,52,51,48,46,46,45,43,41,40,31,27,23,22,Manhattan Beach,21,17,11,9,7,144.45
City of Maywood,25,20,20,17,15,14,10,10,8,6,5,4,2,1,Maywood,1,,,,,89.13
City of Monrovia,12,13,13,12,11,9,8,7,7,5,4,4,4,4,Monrovia,2,,,,,30.93
City of Montebello,39,30,27,20,17,11,10,9,7,5,4,4,3,2,Montebello,1,,,,,60.58
City of Monterey Park,28,23,21,19,15,15,12,11,9,7,5,5,5,4,Monterey Park,4,4,3,3,3,44.97
City of Norwalk,64,58,55,50,49,38,30,26,21,21,15,12,12,9,Norwalk,9,2,1,,,59.47
City of Palmdale,77,65,53,46,37,31,27,20,18,14,9,7,6,4,Palmdale,2,2,2,1,,48.44
City of Palos Verdes Estates,31,30,28,25,23,21,19,18,15,14,14,14,14,12,Palos Verdes Estates,,,,,,229.26
City of Paramount,34,28,27,26,23,19,17,13,10,8,7,6,5,5,Paramount,4,3,2,2,1,60.69
City of Pico Rivera,49,43,39,32,31,27,17,15,14,9,6,5,5,2,Pico Rivera,2,1,1,,,76.22
City of Pomona,43,40,35,30,24,24,22,15,13,10,5,4,4,4,Pomona,3,1,,,,27.58
City of Rancho Palos Verdes,35,35,34,33,28,27,22,20,16,13,10,8,8,7,Rancho Palos Verdes,6,5,3,1,1,81.88
City of Redondo Beach,78,73,68,67,64,62,60,54,50,39,34,29,24,23,Redondo Beach,20,9,7,5,4,113.54
City of Rolling Hills,--,--,--,--,--,0,0,0,0,0,0,0,0,0,Rolling Hills,,,,,,--
City of Rolling Hills Estates,8,8,8,8,8,7,5,5,--,--,--,--,--,--,Rolling Hills Estates,,,,,,98.61
City of Rosemead,11,10,10,9,8,6,5,3,3,2,2,2,1,0,Rosemead,,,,,,19.87
City of San Dimas,17,15,14,13,9,7,6,6,5,4,3,3,2,1,San Dimas,1,1,1,1,1,49.25
City of San Fernando,17,16,12,12,9,8,6,5,5,--,--,--,0,0,San Fernando,3,3,2,1,1,69.07
City of San Gabriel,12,12,13,11,10,7,7,7,6,6,6,6,6,5,San Gabriel,3,1,1,,,29.3
City of San Marino,5,5,5,5,5,5,--,--,--,--,--,--,--,--,San Marino,,,,,,37.66
City of Santa Clarita,126,122,112,106,102,89,78,65,50,48,41,38,32,24,Santa Clarita,16,10,7,7,4,57.16
City of Santa Fe Springs,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Santa Fe Springs,,,,,,--
City of Santa Monica,82,81,77,74,68,65,62,56,53,49,47,41,38,28,Santa Monica,21,18,16,12,7,88.7
City of Sierra Madre,--,--,--,--,--,--,--,--,--,--,0,0,0,0,Sierra Madre,,,,,,--
City of Signal Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Signal Hill,,,,,,--
City of South El Monte,--,--,--,--,--,--,--,0,0,0,0,0,0,0,South El Monte,4,3,1,1,1,--
